"","X.1","X","ID","date","estacion","PM25","AOD_055","ndvi","BCSMASS_dia","DUSMASS_dia","DUSMASS25_dia","OCSMASS_dia","SO2SMASS_dia","SO4SMASS_dia","SSSMASS_dia","SSSMASS25_dia","blh_mean","blh_min","blh_max","blh_sd","sp_mean","sp_min","sp_max","sp_sd","d2m_mean","d2m_min","d2m_max","d2m_sd","t2m_mean","t2m_min","t2m_max","t2m_sd","v10_mean","v10_min","v10_max","v10_sd","u10_mean","u10_min","u10_max","u10_sd","tp_mean","tp_min","tp_max","tp_sd","DEM","dayWeek"
"15",15,15,12,2015-03-13,"Estacion Trafico Centro",60.20833333,0.469,0.224921801,1.02e-09,1.27e-08,4.19e-09,9.26e-09,9.99e-10,3.68e-09,9.81e-08,2.11e-08,360.1338469,17.00697237,1383.560595,492.5139624,80291.28068,80073.71023,80449.29376,118.057845,288.737315,286.1051657,290.6501745,1.192952264,291.8051097,286.9015399,297.0322282,3.113697127,-0.103689441,-0.911662208,0.573978171,0.434414499,-0.669280096,-1.443101266,-0.06389203,0.345712325,0.000253809,5.54e-06,0.001523156,0.000400696,1483,5
"16",16,16,12,2015-04-08,"Estacion Trafico Centro",40.91666667,0.228638764,0.229915068,5.59e-10,3.59e-09,1.3e-09,3.76e-09,5.49e-10,1.4e-09,8.03e-09,1.65e-09,119.3737225,26.34450215,358.2082515,116.220569,80369.17456,80202.95111,80555.78669,110.9833347,288.8897458,286.4926879,290.8484521,1.103836278,290.698421,286.5860869,294.8008886,2.379465519,-0.007109623,-0.648598226,0.760696239,0.406804568,-0.382035851,-1.302042647,0.413706816,0.499743412,0.000580582,0.000177132,0.001163535,0.00029494,1483,3
"17",17,17,12,2015-04-12,"Estacion Trafico Centro",44.25,0.097,0.229915068,4.22e-10,3.32e-09,1.38e-09,3.75e-09,8.29e-10,1.25e-09,3.66e-09,9.34e-10,414.5793885,21.30977972,1542.985639,563.9027736,80469.68925,80262.32097,80617.1018,110.5201392,288.1513609,286.645545,290.4453754,1.047883083,292.3982278,287.4648402,299.1594788,4.092092776,-0.016239387,-0.724629762,0.673926185,0.383636822,-0.735640573,-1.421785606,-0.156301971,0.351821245,0.000124311,0,0.000551747,0.000164385,1483,7
"20",20,20,12,2015-05-23,"Estacion Trafico Centro",36.75,0.080844575,0.266485582,3e-10,5.33e-09,2.15e-09,2.65e-09,1.05e-09,7.2e-10,1.74e-09,4.35e-10,424.1062741,21.39538456,1890.129697,618.494091,80606.90494,80392.44261,80770.1065,119.1372557,287.9863514,286.1175332,289.8554598,1.034219354,292.0602544,286.5954487,299.2824696,4.283362874,-0.02241968,-1.149831384,0.889689971,0.467387773,-0.809669998,-1.596272329,-0.285112862,0.34317594,0.000192104,0,0.001810516,0.000500243,1483,6
"22",22,22,12,2015-06-10,"Estacion Trafico Centro",40.83333333,0.252224149,0.2685488,2.78e-10,6.51e-09,2.6e-09,1.87e-09,7.15e-10,7.61e-10,6.83e-10,1.46e-10,306.7796118,13.74620097,1129.848852,390.6354024,80488.86249,80301.79693,80633.45195,104.2089608,288.0699591,286.2044034,289.9496675,1.047943164,291.3262186,286.7143728,297.4337805,3.512104459,0.275628443,-0.304780948,0.988181737,0.41400724,-0.477775575,-0.856022874,-0.104952096,0.176078641,0.000209082,8.36e-07,0.001445854,0.000334499,1483,3
"24",24,24,12,2015-06-16,"Estacion Trafico Centro",26.75,0.067354691,0.2685488,2.01e-10,9.33e-09,3.59e-09,1.75e-09,5.51e-10,8.56e-10,1.64e-09,3.22e-10,481.2569262,17.51474187,2077.865971,669.3456706,80380.64025,80202.43243,80532.62507,103.2176765,287.0369221,283.8655786,289.3058401,1.597825111,293.1422841,287.6350462,300.8855116,4.767769286,0.287348745,-0.21795045,1.491441546,0.519177338,-1.032281728,-1.992461826,-0.46415633,0.450720835,4.56e-05,0,0.000391139,0.000100952,1483,2
"26",26,26,12,2015-06-23,"Estacion Trafico Centro",31.41666667,0.173144787,0.2685488,2e-10,4.54e-09,1.61e-09,1.8e-09,5.48e-10,8.36e-10,2.33e-09,4.82e-10,551.5663649,21.40882795,1971.149794,735.1876052,80484.70055,80270.21489,80638.47174,110.4768002,286.7553501,283.8853681,290.1970003,1.671485651,293.2598094,286.9170323,300.7756174,4.809115552,0.114387351,-0.587208789,1.541347981,0.718531595,-1.488706737,-2.670315491,-0.798156912,0.571969445,2.07e-05,0,0.000332808,7.03e-05,1483,2
"29",29,29,12,2015-06-30,"Estacion Trafico Centro",39.41666667,0.059881762,0.2685488,2.83e-10,2.3e-08,8.59e-09,3.02e-09,1.16e-09,3.77e-10,8.75e-10,2.14e-10,548.1908772,26.9855647,1855.075873,682.4710075,80517.71307,80352.38749,80656.23588,96.69514062,286.0345287,283.4688411,287.9003737,1.137516865,292.4379559,285.3673092,299.7795865,4.819060858,-0.100490863,-0.774392934,1.086630718,0.576924576,-1.259159189,-2.0685829,-0.780999726,0.384636396,5.67e-05,2.5e-11,0.000593476,0.000145866,1483,2
"34",34,34,12,2015-08-12,"Estacion Trafico Centro",45.34782609,0.200686102,0.31807315,3.27e-10,1.17e-09,4.15e-10,3.06e-09,1.02e-09,5.77e-10,5.56e-09,1.21e-09,639.1424403,29.1164142,2063.209719,802.9522916,80432.7384,80219.59087,80584.13928,109.9038909,285.7406884,282.0904644,288.0363038,1.843431066,292.8194516,286.0540986,300.5134628,4.949856454,0.18835088,-0.499325705,1.245565795,0.559156716,-1.238273543,-1.97316165,-0.513481878,0.395821305,8.14e-05,3.47e-07,0.000835104,0.000213047,1483,3
"36",36,36,12,2015-08-20,"Estacion Trafico Centro",42.08333333,0.147643732,0.31807315,4.66e-10,2.38e-09,8.21e-10,3.55e-09,5.48e-10,8.26e-10,2.61e-09,5.1e-10,595.6502101,22.21259814,2243.158374,736.0566997,80381.70637,80198.29001,80521.84885,94.31042172,286.0425033,283.1443058,288.5476762,1.195869916,293.670876,286.8575228,301.2234307,4.751512967,-0.028345503,-0.808875683,1.076583242,0.560306249,-1.116961242,-1.682683145,-0.666196784,0.234671167,0.000144253,0,0.001154784,0.000305101,1483,4
