"","X.1","X","ID","date","estacion","PM25","AOD_055","ndvi","BCSMASS_dia","DUSMASS_dia","DUSMASS25_dia","OCSMASS_dia","SO2SMASS_dia","SO4SMASS_dia","SSSMASS_dia","SSSMASS25_dia","blh_mean","blh_min","blh_max","blh_sd","sp_mean","sp_min","sp_max","sp_sd","d2m_mean","d2m_min","d2m_max","d2m_sd","t2m_mean","t2m_min","t2m_max","t2m_sd","v10_mean","v10_min","v10_max","v10_sd","u10_mean","u10_min","u10_max","u10_sd","tp_mean","tp_min","tp_max","tp_sd","DEM","dayWeek"
"2123",2123,2147,78,2019-08-07,"La Estrella - Hospital",28,0.200968012,0.550079523,5.57e-10,1.69e-09,6.05e-10,4.36e-09,8.38e-10,7.09e-10,7.17e-10,1.58e-10,557.310282,16.53417995,2270.26162,747.4168746,81338.58579,81137.74756,81489.96636,109.9807746,285.1259627,282.0096954,288.772404,1.775485898,293.4101309,286.8993578,301.026565,4.974873712,0.313349068,-0.25317493,1.096133764,0.393747225,-0.7025383,-1.8349685,0.212346261,0.555032976,0.000139493,7.87e-07,0.001604576,0.000353588,1764,3
"2125",2125,2149,78,2019-08-26,"La Estrella - Hospital",16.125,0.250434034,0.550079523,4.72e-10,3.04e-09,1.09e-09,4.18e-09,9.62e-10,9.77e-10,2.63e-09,5.39e-10,578.7094074,21.35264902,2062.845066,772.1829075,81161.04903,80872.8127,81359.01539,150.7534393,285.1118507,281.0775111,288.4776131,1.967859779,293.1770383,287.0825419,300.6615713,4.90693223,0.09540189,-0.67686333,1.244763003,0.633983511,-1.021870535,-1.627618321,-0.514424952,0.255381922,5.33e-06,0,6.69e-05,1.44e-05,1764,1
"2126",2126,2150,78,2019-08-30,"La Estrella - Hospital",23.45833333,0.07115417,0.550079523,4.41e-10,2.56e-09,9.62e-10,3.82e-09,1.18e-09,4.75e-10,3.15e-09,7.32e-10,804.4931906,29.35453406,2602.631986,982.9657779,81173.74001,80878.7934,81358.12614,156.4010095,283.466743,278.7879475,286.107691,2.217950474,293.7694115,286.513594,302.5756054,5.779570529,0.06532133,-0.799559719,0.973653398,0.609342414,-1.149023159,-1.977860005,-0.284214504,0.388830544,6.93e-06,7.55e-10,3.87e-05,1.09e-05,1764,5
"2127",2127,2151,78,2019-10-01,"La Estrella - Hospital",7.791666667,0.20375489,0.533596861,5.39e-10,2.43e-09,9.69e-10,4.19e-09,8.96e-10,5.45e-09,4.55e-09,1.23e-09,405.4621912,21.14214552,1426.235715,503.5006057,81125.70017,80804.15364,81319.68154,151.1085219,288.7459143,286.6746506,290.5240536,0.93920729,291.469872,287.0100366,298.0316459,3.800544676,0.742084833,-0.127652577,1.838910479,0.578195318,0.165851601,-0.276226168,0.80982395,0.269340677,0.000386492,4.97e-05,0.001466594,0.000374739,1764,2
"2128",2128,2152,78,2019-10-23,"La Estrella - Hospital",12.29166667,0.306065011,0.533596861,2.71e-10,5.79e-10,2.5e-10,1.39e-09,4.32e-10,5.7e-10,4.95e-10,1.09e-10,325.5270805,30.23934387,1196.086138,398.0879786,81109.22865,80806.00425,81292.10725,157.3441096,288.6821126,287.0860063,290.6442043,0.994669711,290.6433436,287.4125919,295.5450191,2.837145442,0.396696113,-0.266843338,1.041904228,0.390874377,0.104498169,-0.493602173,0.718617917,0.413040864,0.000422942,8.69e-05,0.002019879,0.000447891,1764,3
"2129",2129,2153,78,2019-11-07,"La Estrella - Hospital",15.5,0.270125996,0.575155688,3.61e-10,5.4e-10,2.05e-10,2.19e-09,9.11e-10,6.84e-10,2.81e-09,5.91e-10,375.9490121,14.78052546,1665.801192,508.1052438,81028.61754,80740.26143,81237.60431,155.1700451,288.9599996,286.8841017,290.9155091,0.971684357,292.3612555,287.2111944,299.1238621,4.091098902,0.155418006,-0.466979376,1.105118508,0.549474341,-0.612355366,-1.505998455,0.317917313,0.430244098,4.37e-05,1.97e-07,0.0002167,5.59e-05,1764,4
"2130",2130,2154,78,2019-11-16,"La Estrella - Hospital",6,0.276431384,0.575155688,3.98e-10,6.72e-10,1.89e-10,2.26e-09,3.88e-10,1.2e-09,3.97e-09,7.67e-10,353.9902564,23.95534973,1248.464948,461.0347056,81145.47167,80875.45096,81345.96819,142.0981112,288.5270991,287.1742537,290.159735,0.793289767,291.2861801,287.1732913,297.4897753,3.523279508,0.254015576,-0.216258639,0.782493775,0.297342263,0.030427328,-0.370662646,0.633734781,0.251443625,7.13e-05,2.51e-06,0.000329205,8.32e-05,1764,6
"2132",2132,2156,78,2019-11-23,"La Estrella - Hospital",19.25,0.327057877,0.575155688,3.57e-10,3.61e-10,9.8e-11,1.74e-09,4.33e-10,5.79e-10,1.33e-09,2.62e-10,336.6175272,16.85125695,1270.85507,429.1359617,81178.16632,80962.50221,81360.7894,118.627272,287.6988365,285.9540606,289.3915173,0.90596746,290.9892604,286.1300638,296.2067305,3.353531086,0.011024171,-0.412515065,0.441921005,0.29709279,-0.186497155,-0.738922894,0.738544439,0.475175843,0.000758283,9.92e-07,0.003098479,0.001094322,1764,6
"2133",2133,2157,78,2019-12-02,"La Estrella - Hospital",14.70833333,0.220547694,0.563579595,4.34e-10,8.19e-10,2.73e-10,2.97e-09,9.61e-10,9.43e-10,2.18e-09,4.84e-10,348.202653,22.22120947,1194.155454,450.2911246,81154.51155,80955.91569,81325.71406,109.3257684,288.6201106,287.0146339,290.140879,0.886159324,293.1216091,288.251786,298.5524604,3.35996614,0.350715899,-0.529352375,1.291882716,0.500617678,-0.50020597,-1.049310486,0.087522793,0.338846547,4.67e-05,2.18e-07,0.000166398,4.71e-05,1764,1
"2134",2134,2158,78,2019-12-04,"La Estrella - Hospital",19.875,0.271448892,0.563579595,3.64e-10,1.17e-09,3.47e-10,2.49e-09,7.18e-10,1.97e-09,4.15e-09,8.83e-10,358.0812595,16.88897724,1392.48566,505.6369204,81141.62787,80922.2635,81307.92295,122.3179737,288.2284186,287.1898349,290.7341519,0.899418515,292.4370818,288.0730704,298.8043888,3.777888687,0.148473421,-0.208605623,0.606081405,0.247719107,-0.426742435,-0.820104402,0.226029461,0.301669025,9.48e-05,6.22e-08,0.000422199,0.00012655,1764,3
"2135",2135,2159,78,2019-12-09,"La Estrella - Hospital",14.875,0.177753641,0.563579595,2.56e-10,3.89e-10,1.16e-10,1.5e-09,5.18e-10,6.23e-10,2.66e-09,5.24e-10,505.583775,29.35415399,1711.510874,625.2329809,81099.60878,80796.07709,81265.03585,156.8462437,286.9557784,285.5851509,288.9510044,0.859213771,292.117488,286.5559314,298.9282983,4.303337977,0.007589873,-0.504919836,0.640210418,0.421278184,-0.708841177,-1.29901259,0.14877856,0.368200538,8.33e-06,1.14e-10,3.82e-05,1.07e-05,1764,1
"2136",2136,2160,78,2019-12-19,"La Estrella - Hospital",16.08333333,0.237475032,0.563579595,3.23e-10,1.75e-09,6.51e-10,2.14e-09,8.21e-10,7.75e-10,8.18e-09,1.73e-09,435.3039426,16.57666914,1633.883284,604.9038662,81021.64256,80795.56543,81162.20677,113.9169823,288.5811778,287.3575776,289.9590242,0.773058001,292.4131145,287.6193179,299.0416443,4.070313393,0.143271867,-0.465449637,0.855850664,0.395486764,-0.726190954,-1.167320256,-0.216687061,0.271779085,3.84e-05,1.51e-07,0.000149399,4.32e-05,1764,4
"2139",2139,2163,78,2020-01-01,"La Estrella - Hospital",13.54166667,0.2894442,0.570562795,3.6e-10,1.83e-09,8.22e-10,2.09e-09,9.25e-10,5.71e-10,2.98e-09,5.86e-10,262.0619372,31.03414253,902.4817756,318.252889,81193.14027,80966.05752,81359.56273,123.5676408,289.3067294,287.7522305,291.2159924,1.265221303,290.9908699,287.8435972,296.5939886,3.1131933,0.207539752,-0.218216561,0.659402397,0.308725292,-0.102572174,-0.688402528,0.866402078,0.361441587,0.000362612,5.36e-05,0.000874209,0.000199491,1764,3
"2143",2143,2167,78,2020-01-07,"La Estrella - Hospital",12.83333333,0.114016609,0.570562795,2.9e-10,3.77e-10,1.37e-10,1.69e-09,5.12e-10,6.75e-10,3.02e-09,6.21e-10,539.6373217,17.29168862,1925.510151,710.4281509,81201.70454,80983.15431,81396.2134,115.2321757,285.972745,283.4930408,288.5996093,1.01383549,291.9158426,283.6649914,299.2733077,5.130188686,0.117122605,-0.301769337,0.614062467,0.324947124,-0.703098921,-1.148785489,-0.342592289,0.230735722,7.91e-06,4.32e-10,3.22e-05,1.01e-05,1764,2
"2145",2145,2169,78,2020-01-10,"La Estrella - Hospital",13.08333333,0.088516541,0.570562795,2.96e-10,3.04e-09,1.27e-09,2.79e-09,1.02e-09,8.65e-10,7.88e-09,1.55e-09,584.3260495,32.16858002,2010.39332,762.5210139,80958.58668,80681.40923,81118.01136,135.0272941,283.8319675,279.7565727,285.4757818,1.660440163,292.4004072,285.6555572,300.3947368,5.223407236,-0.082555458,-0.698450214,0.819419176,0.471920731,-1.31153038,-2.074940075,-0.69833012,0.404710634,2.76e-06,6.39e-11,1.61e-05,3.98e-06,1764,5
"2146",2146,2170,78,2020-01-11,"La Estrella - Hospital",14.83333333,0.10945996,0.570562795,3.97e-10,3.24e-09,1.43e-09,3.51e-09,1.69e-09,5.73e-10,3.07e-09,6.78e-10,499.6542122,21.93128639,1981.99194,699.5339222,81000.75019,80830.34189,81204.42029,105.1507601,282.553716,280.3333641,285.7568319,1.141134132,291.7000723,283.8889691,299.5014256,5.048056327,-0.081728568,-0.622222955,0.72280443,0.439076587,-1.104549243,-1.737330687,-0.60813506,0.286707591,3.49e-06,1.94e-10,1.42e-05,4.28e-06,1764,6
"2147",2147,2171,78,2020-01-12,"La Estrella - Hospital",10.75,0.096844744,0.570562795,2.86e-10,2.19e-09,9.71e-10,2.67e-09,1.41e-09,5.37e-10,5.87e-09,1.04e-09,632.9486701,23.7627844,2191.52601,841.0131677,81101.57427,80859.74516,81280.04515,126.4431867,284.0378126,282.0980277,286.9548652,1.26272397,292.1330963,284.9817564,299.955408,5.394964439,-0.322293534,-0.817662008,0.622161741,0.482587468,-1.432358406,-2.599459289,-0.561552158,0.637834906,7.24e-07,1.28e-10,5.94e-06,1.33e-06,1764,7
"2149",2149,2173,78,2020-01-21,"La Estrella - Hospital",20.04166667,0.337787911,0.570562795,5.38e-10,2.73e-09,1.14e-09,3.3e-09,9.92e-10,2.18e-09,7.15e-09,1.58e-09,294.0481404,13.18721585,1488.151743,455.3049219,81250.24547,81018.80553,81417.99299,118.6303255,289.7103109,288.0748992,292.2306435,1.221076595,291.4490665,288.7546609,297.4731414,2.686551988,0.239642087,-0.204057392,0.893540407,0.342513715,-0.035261935,-0.925424661,0.91675484,0.500705177,0.000551415,4.62e-05,0.001873577,0.000532861,1764,2
"2152",2152,2176,78,2020-01-29,"La Estrella - Hospital",17.04166667,0.180138549,0.570562795,4.55e-10,1.08e-09,5e-10,3.1e-09,5.39e-10,9.89e-10,2.07e-09,4.59e-10,378.1178994,14.18934396,1508.99439,519.2074129,81310.30073,81117.34475,81486.24031,107.2126191,288.1956664,286.55749,289.1302831,0.631606533,292.161057,286.9366619,297.8726138,3.593715781,-0.033200661,-0.908435221,0.834373852,0.440256421,-0.261129625,-0.870830533,0.299855639,0.240405238,0.000105819,1.86e-06,0.000498933,0.000113706,1764,3
"2154",2154,2178,78,2020-02-04,"La Estrella - Hospital",14.58333333,0.123967468,0.55424391,4.31e-10,1.58e-08,7.18e-09,3.52e-09,1.19e-09,6.39e-10,8.38e-09,1.81e-09,622.7046971,21.03088068,2225.610768,833.2460995,81233.18483,81002.00233,81440.8525,124.7862161,286.4134611,283.0602771,287.7264459,1.367430817,293.5749259,286.8196303,301.1002225,4.875462583,0.08315748,-0.563158835,0.56072448,0.348466055,-1.057012115,-1.364193577,-0.394966316,0.239606648,4.49e-06,0,2.45e-05,6.01e-06,1764,2
"2155",2155,2179,78,2020-02-05,"La Estrella - Hospital",18.45833333,0.158086608,0.55424391,4.76e-10,1.05e-08,4.98e-09,3.87e-09,1.51e-09,6.52e-10,5.2e-09,1.23e-09,618.8587069,16.00159788,2111.199712,806.9824467,81181.09704,80840.95497,81369.50881,158.2404633,285.3204081,281.8243582,286.7057628,1.230119226,292.9399184,286.3047168,301.4281894,5.324136085,0.045968932,-0.401280875,0.600920157,0.326640987,-0.918496227,-1.436461183,-0.553452894,0.277149171,2e-06,0,1.08e-05,2.75e-06,1764,3
"2157",2157,2181,78,2020-02-08,"La Estrella - Hospital",32.625,0.40353527,0.55424391,7.1e-10,9.06e-09,4.39e-09,6.42e-09,1.22e-09,1.44e-09,1.72e-08,3.65e-09,485.5179757,22.3249688,1722.297618,648.289392,81267.5334,81051.54615,81456.40065,116.7845566,286.6656992,285.0623457,289.8300362,1.112579495,293.2916715,288.0209002,298.9548755,3.399331733,-0.243922396,-0.782666141,0.422657698,0.360113536,-0.74611817,-1.082766959,-0.188545124,0.20934195,8.38e-05,1.32e-07,0.000758999,0.000166003,1764,6
"2158",2158,2182,78,2020-02-11,"La Estrella - Hospital",23.29166667,0.225484651,0.55424391,6.2e-10,2.27e-09,9.48e-10,5.05e-09,1.32e-09,1.01e-09,1.49e-08,3.11e-09,613.6161887,21.45143033,2225.075495,820.9392646,81104.11473,80856.73112,81281.36315,119.7321872,285.7222731,282.3631144,287.4213121,1.39094264,293.6225274,287.2984186,301.3324669,5.067548807,0.086927214,-0.51243338,0.848190316,0.502055031,-0.880472828,-1.215707951,-0.282011143,0.226964929,1.57e-06,0,8.64e-06,2.33e-06,1764,2
"2161",2161,2185,78,2020-03-17,"La Estrella - Hospital",61.13636364,0.399917677,0.555818882,1.39e-09,2.71e-09,1.1e-09,1.23e-08,1.11e-09,1.79e-09,1e-08,2.36e-09,656.5273221,19.50942457,2051.794043,813.5355724,81251.04548,81021.97136,81432.6086,125.7002096,286.9253612,284.9842894,289.4788845,1.121798884,292.9365185,286.7774845,300.5219076,4.774650781,-0.023597209,-0.83812913,0.586441046,0.373272641,-0.561284538,-1.057226377,0.235223886,0.271955769,3.57e-05,1.05e-07,0.000157994,4.19e-05,1764,2
"2163",2163,2187,78,2020-04-02,"La Estrella - Hospital",11.66666667,0.193202064,0.600432517,7.12e-10,6.93e-10,1.92e-10,4.44e-09,6e-10,1.16e-09,2.58e-09,6.2e-10,372.8283945,19.94219383,1380.661043,461.6949615,81221.19107,81010.47991,81421.39826,120.0453716,289.1135209,288.0656306,291.109227,0.872894401,292.6498897,288.5162144,298.8474281,3.595375775,0.182331499,-0.359814864,0.607264656,0.302376467,-0.5430314,-0.939356754,0.135712725,0.266083157,0.000147533,3.17e-06,0.00061475,0.000167178,1764,4
"2164",2164,2188,78,2020-04-04,"La Estrella - Hospital",18.58333333,0.261201415,0.600432517,6.66e-10,8.04e-10,2.14e-10,4.48e-09,7e-10,1.32e-09,9.16e-09,1.86e-09,412.7416885,29.35811659,1459.563651,537.5395029,81061.75831,80848.16629,81237.87318,118.3419492,289.2986383,288.4871311,291.313845,0.719666401,293.7617871,289.4805425,298.9992456,3.337187475,0.080045867,-0.418613518,0.582283952,0.292366512,-0.728797235,-1.269583328,-0.027010041,0.308659458,9.2e-05,1.13e-06,0.000930978,0.000185188,1764,6
"2165",2165,2189,78,2020-04-28,"La Estrella - Hospital",20.95833333,0.219422553,0.600432517,7.39e-10,1.44e-09,4.91e-10,7.34e-09,1.3e-09,1.04e-09,1.23e-08,2.57e-09,368.0148928,26.72582914,1566.496107,497.8075128,81253.61622,81044.90355,81429.2011,121.7000709,289.0160361,287.2919787,291.4744912,1.024639118,293.1177674,287.5655496,300.0238861,4.228559352,0.11938022,-0.430047038,1.183754283,0.486643367,-0.54788717,-1.134763346,0.24356048,0.4644726,0.000194177,2.54e-06,0.001177057,0.000326413,1764,2
"2167",2167,2191,78,2020-05-20,"La Estrella - Hospital",22.41666667,0.084261806,0.574718948,3.28e-10,4.3e-09,1.74e-09,2e-09,6.49e-10,8.99e-10,2.78e-09,5.72e-10,486.8569867,19.14762767,1619.761741,649.2919829,81264.11953,80991.97351,81419.99319,135.4661936,288.2654043,286.9394948,289.697394,0.77125374,293.3874061,287.6869276,300.601455,4.807655455,0.214114164,-0.353176836,1.127463745,0.471575524,-0.835780022,-1.227155307,-0.267537284,0.219741794,5.07e-05,2.49e-07,0.000537309,0.000108192,1764,3
"2168",2168,2192,78,2020-06-04,"La Estrella - Hospital",14.58333333,0.134391736,0.590942435,3.42e-10,1.67e-09,7.34e-10,2.22e-09,8.4e-10,1.74e-09,8.87e-10,1.79e-10,399.6613437,24.50238829,1420.690242,488.448923,81210.43214,80946.73813,81370.51226,130.7005973,288.9201468,287.4328784,291.1578483,1.100468206,292.2055843,287.5070889,299.2082173,4.500142967,0.032719324,-0.606893197,0.701384947,0.461750278,-0.723544266,-1.15470711,-0.429675981,0.198186781,4.95e-05,3.04e-06,0.000173772,4.71e-05,1764,4
"2169",2169,2193,78,2020-06-07,"La Estrella - Hospital",11.25,0.254644814,0.590942435,3.57e-10,2.66e-09,1.11e-09,2.49e-09,1.09e-09,5.44e-10,1.06e-09,2.14e-10,412.4082628,16.51185481,1682.004055,581.3615862,81371.06287,81182.97354,81524.76073,102.7763124,288.2797602,286.5074792,291.1265893,1.257311406,292.7540167,286.8914667,300.275747,4.738053454,0.002259786,-0.419518673,0.729705378,0.33479086,-0.694632039,-1.249502409,-0.201520971,0.238233816,0.000173114,2.34e-07,0.001778264,0.000418499,1764,7
"2173",2173,2197,78,2020-06-29,"La Estrella - Hospital",10.41666667,0.094551084,0.590942435,3.41e-10,3.13e-08,1.15e-08,2.03e-09,6.89e-10,6.8e-10,1.74e-09,3.53e-10,354.0737158,28.53813555,1628.106822,490.2542367,81153.34782,80954.95838,81298.45224,103.3742742,288.5427436,286.3655616,290.1091471,1.154489584,292.4364036,287.2809268,299.4903488,4.262511263,0.173093019,-0.421974202,0.912722912,0.412026523,-0.943214584,-1.280647205,-0.521169543,0.185445258,0.00029239,1.19e-05,0.002040484,0.000466814,1764,1
"2174",2174,2198,78,2020-07-06,"La Estrella - Hospital",18.16666667,0.19847495,0.580370181,3.79e-10,1.62e-08,6.31e-09,2.48e-09,9.31e-10,6.28e-10,2.89e-09,5.2e-10,433.1408156,30.6846301,1801.008047,564.4812236,81213.91819,81048.28136,81344.78569,87.46758243,288.0769636,286.9956476,290.7175906,0.992997989,292.0851387,287.1640947,299.5478133,4.291789864,-0.039269122,-0.529587971,0.752040581,0.406009379,-0.842980064,-1.396813547,-0.278531049,0.296031226,0.000253824,0,0.001895643,0.000491955,1764,1
"2175",2175,2199,78,2020-07-13,"La Estrella - Hospital",14,0.106160978,0.580370181,3.17e-10,7.23e-09,2.64e-09,2.06e-09,6.97e-10,7.77e-10,2.61e-10,6.05e-11,413.0201716,20.113277,1950.59775,598.9297731,81225.18455,80988.48298,81374.87651,118.6124319,288.101362,286.3898206,291.1059132,1.265732564,292.4986352,287.3217841,300.3609826,4.669552992,-0.038353855,-0.80826243,0.938368642,0.48519684,-0.790978762,-1.185330284,-0.454806618,0.242195753,0.000206619,2.54e-10,0.001881908,0.000456365,1764,1
"2178",2178,2202,78,2020-07-18,"La Estrella - Hospital",9.166666667,0.141078814,0.580370181,3.66e-10,7.66e-09,2.76e-09,2.94e-09,1.2e-09,8.2e-10,8.82e-10,2e-10,502.6841626,23.02425454,1840.079377,703.3288276,81095.42871,80875.95104,81241.84784,116.5047804,287.0150642,284.8978435,290.1761468,1.411152488,292.8877798,286.3313939,300.9145639,5.26677168,-0.119699988,-0.703720397,0.797947096,0.513939976,-0.975700608,-1.533432639,-0.582786861,0.217437952,2.89e-05,2.73e-11,0.000173385,5.43e-05,1764,6
"2179",2179,2203,78,2020-07-29,"La Estrella - Hospital",10.25,0.263816844,0.580370181,4.14e-10,4.56e-09,1.53e-09,2.48e-09,8.01e-10,6.48e-10,3.29e-09,6.4e-10,429.911217,22.29867161,1595.428275,568.5476245,81156.95215,80927.49298,81325.71181,124.1819104,287.927151,285.8572535,290.5906897,1.363639065,293.216786,287.6188126,300.8327551,4.737051962,-0.029863133,-0.482313596,0.583211234,0.339513653,-0.846444678,-1.350244076,-0.064687568,0.312743318,0.000121519,2.38e-08,0.00104611,0.000230245,1764,3
"2180",2180,2204,78,2020-07-31,"La Estrella - Hospital",16.29166667,0.198405544,0.580370181,3.74e-10,2.89e-09,9.64e-10,2.3e-09,7.6e-10,4.59e-10,1.25e-09,3.02e-10,394.8973188,23.51127983,1641.484386,535.0886699,81142.9075,80975.46593,81292.0621,94.01421246,288.5540707,286.4969401,290.8252034,0.981872225,292.9229485,286.6826145,299.5830481,4.341436592,-0.004988957,-1.033395521,1.173336528,0.669515817,-0.805391464,-1.200675882,-0.165868477,0.320330565,0.000212128,2.06e-09,0.001389093,0.000433512,1764,5
"2182",2182,2206,78,2020-08-12,"La Estrella - Hospital",13.08333333,0.165415569,0.564719308,4.15e-10,2.24e-09,8.31e-10,2.79e-09,5.79e-10,1.05e-09,4.14e-09,7.31e-10,353.0206279,18.84915867,1784.479723,502.0246503,81025.94623,80805.91097,81230.41998,116.4175047,289.3668138,287.064128,293.4361979,1.646710463,293.2649084,287.7753409,300.6726944,4.427675945,0.048828076,-0.80770354,0.71093056,0.430556493,-0.68573678,-1.0523962,0.128892997,0.313846108,0.000410014,1.03e-06,0.003019258,0.00084614,1764,3
"2183",2183,2207,78,2020-08-28,"La Estrella - Hospital",12.91666667,0.241182175,0.564719308,4.54e-10,4.35e-09,1.54e-09,2.97e-09,8.1e-10,8.05e-10,4.82e-09,9.19e-10,418.0536852,17.7030308,1552.697123,560.9597587,81287.97289,81050.77328,81439.80761,119.5587552,288.2653097,286.8384074,291.2640208,1.255587879,292.8360527,287.6525815,299.9388763,4.263998744,0.190442625,-0.445614366,0.658204394,0.332122669,-0.717988964,-1.095539774,-0.244393893,0.231106933,0.000417097,1.05e-07,0.002234403,0.000667294,1764,5
"2185",2185,2209,78,2020-09-01,"La Estrella - Hospital",19.41666667,0.271031878,0.579339313,4.11e-10,6.71e-09,2.33e-09,2.68e-09,7.67e-10,1.41e-09,3.81e-09,7.44e-10,332.5412202,16.41492929,1252.465349,410.1364268,81219.40316,80990.62494,81378.36468,124.0715672,288.3897928,286.8777021,290.8961973,1.058475458,291.5764587,287.5349604,297.2332676,3.522114134,0.381995216,-0.327821488,1.427993159,0.555071052,-0.364628551,-1.355574146,0.670155362,0.529799816,0.000398976,4.4e-07,0.00292864,0.000671304,1764,2
"2187",2187,2211,78,2020-09-06,"La Estrella - Hospital",8.291666667,0.218055469,0.579339313,4.31e-10,7.66e-10,2.69e-10,3e-09,9.73e-10,9.73e-10,2.01e-09,3.96e-10,374.9123894,27.30829523,1269.292937,436.4523281,81174.67343,80896.45963,81344.13226,133.2429285,288.1110861,286.1153108,290.9260947,1.37956479,292.2667418,286.4799069,298.7394521,4.237605742,0.303137727,-0.43455622,1.246848124,0.578067383,-0.533327405,-1.551511264,0.749276082,0.619762971,0.000124861,2.54e-06,0.000360773,0.000122924,1764,7
"2188",2188,2212,78,2020-09-10,"La Estrella - Hospital",18.20833333,0.194908913,0.579339313,3.94e-10,2.66e-10,9.41e-11,2.28e-09,4.63e-10,4.93e-10,1.9e-10,3.96e-11,378.3006713,21.28925652,1520.826183,508.5959384,81286.86738,81019.28977,81445.1404,141.4333224,287.8474494,286.0947486,291.1812321,1.314637272,291.7401079,286.3354621,298.9702123,4.604405519,0.02549981,-0.592962163,0.937225324,0.516224107,-0.731926672,-1.115476319,-0.385997685,0.206662933,0.000245738,3.69e-07,0.001702027,0.000451736,1764,4
"2190",2190,2214,78,2020-09-22,"La Estrella - Hospital",18.16666667,0.163323962,0.579339313,4.22e-10,6.94e-10,2.63e-10,2.51e-09,8.85e-10,6.36e-10,1.33e-09,2.79e-10,529.9945752,15.15713445,1861.172883,690.9652725,81173.89577,80899.86387,81326.28057,143.6673993,287.615716,284.9532039,289.6026583,1.207583651,292.8306105,287.6663986,300.6726246,4.807271241,0.255416226,-0.30321815,0.980761489,0.454407923,-0.571878887,-0.88996183,0.116271437,0.262908826,0.000138728,6.48e-12,0.001188772,0.000310904,1764,2
"2191",2191,2215,78,2020-10-10,"La Estrella - Hospital",12.79166667,0.061790093,0.546181541,3.98e-10,5.01e-10,1.81e-10,3.25e-09,9.98e-10,1.02e-09,1.24e-09,2.56e-10,531.838548,30.28336615,2122.952457,747.1725451,81250.71462,80923.24182,81444.24746,167.604637,286.9451766,285.2520125,291.0531698,1.528934655,292.2079395,286.1167677,301.3680118,5.43621118,-0.100808142,-0.666644666,0.666996562,0.46971703,-1.135703943,-1.393818172,-0.329763589,0.248705256,7.88e-05,0,0.000816602,0.000196253,1764,6
"2192",2192,2216,78,2020-10-12,"La Estrella - Hospital",16.125,0.232244192,0.546181541,3.99e-10,5.83e-10,2.06e-10,2.5e-09,7.13e-10,9.65e-10,2.02e-09,3.87e-10,398.2111408,18.92843848,1724.46911,565.1783328,81104.70669,80795.50089,81340.19506,159.6443897,288.0002567,286.2263771,291.2144699,1.528210001,291.7555673,286.6842537,298.4331782,3.915505163,0.231418772,-0.69526537,1.487998648,0.697506491,-0.483668645,-1.147189633,0.216782746,0.391019224,0.000280609,1.38e-06,0.002241784,0.000542006,1764,1
"2193",2193,2217,78,2020-10-30,"La Estrella - Hospital",13.16666667,0.396,0.546181541,3.12e-10,5.15e-10,1.55e-10,1.85e-09,2.99e-10,1.03e-09,1.56e-09,3.28e-10,182.4894182,30.10999821,653.6954032,193.732443,81209.04024,81021.06842,81422.52219,120.7724421,289.0118391,287.3928529,291.0488409,1.185935022,291.0207741,287.9959755,295.5151442,2.49337778,0.250915773,-0.405770102,0.811894177,0.371097758,0.372305954,-0.145930564,0.919187026,0.305863776,0.000401272,3.19e-05,0.001311233,0.000381048,1764,5
"2194",2194,2218,78,2020-11-02,"La Estrella - Hospital",7.458333333,0.120498299,0.57787019,2.63e-10,3.8e-10,1.29e-10,1.5e-09,5.64e-10,8.03e-10,3.12e-10,7.05e-11,426.1133212,16.01591822,1439.666674,517.7180865,81185.6416,80931.57927,81342.44903,131.3547725,288.2356873,287.0763801,289.7323521,0.698768229,291.841708,288.3422263,296.835221,3.248760211,0.597766312,-0.112151548,1.498643744,0.504273534,0.758250101,-0.095382989,1.564654249,0.502567561,1.7e-05,4.16e-07,6.65e-05,1.63e-05,1764,1
"2195",2195,2219,78,2020-11-07,"La Estrella - Hospital",19.58333333,0.351886645,0.57787019,3.49e-10,3.43e-10,1.29e-10,2.05e-09,4.98e-10,9.09e-10,3.05e-09,5.25e-10,330.7756183,17.15414703,1453.576434,457.8813794,81121.9918,80888.99353,81321.93924,119.4090972,288.477391,286.4955525,290.4761585,1.241104065,291.0723766,286.5440432,297.2049131,3.505821382,0.120209621,-0.4042914,1.057618602,0.409320631,-0.105862422,-0.64733755,0.673487744,0.362648221,0.000292597,4.28e-06,0.002160526,0.0005687,1764,6
"2196",2196,2220,78,2020-11-25,"La Estrella - Hospital",11.29166667,0.250886848,0.57787019,4.91e-10,1.24e-09,4.37e-10,4.15e-09,9.01e-10,2.82e-09,5.44e-09,1.22e-09,270.3021995,19.37167735,1193.511717,371.0605226,81170.46487,80992.81541,81362.66204,116.4149471,288.9572281,286.7847614,291.598832,1.446849218,291.4574143,287.381099,297.3869229,3.30036972,0.23830966,-0.601147824,1.358633917,0.582130856,-0.170060927,-1.197218883,0.608373982,0.541839363,0.000328662,1.32e-06,0.002787674,0.00061695,1764,3
