"","X","ID","date","estacion","PM25","AOD_055","ndvi","BCSMASS_dia","DUSMASS_dia","DUSMASS25_dia","OCSMASS_dia","SO2SMASS_dia","SO4SMASS_dia","SSSMASS_dia","SSSMASS25_dia","blh_mean","blh_min","blh_max","blh_sd","sp_mean","sp_min","sp_max","sp_sd","d2m_mean","d2m_min","d2m_max","d2m_sd","t2m_mean","t2m_min","t2m_max","t2m_sd","v10_mean","v10_min","v10_max","v10_sd","u10_mean","u10_min","u10_max","u10_sd","tp_mean","tp_min","tp_max","tp_sd","DEM","dayWeek"
"1",1,1,2015-01-01,"MER",69,0.48801146,0.160253245,8.52e-10,1.36e-10,5.42e-11,2.34e-09,9.14e-09,3.02e-09,1.63e-09,3.51e-10,486.190229912092,25.9405494766256,1916.44330302662,669.700171702242,75106.3980021548,74884.0896475519,75233.6344644569,105.325541246706,279.000405810225,276.973291583896,281.706757421216,1.36071075804488,285.610323552407,278.638234541388,292.583940307801,4.78545725488984,0.610225325986441,-1.06693263501728,2.55821707898034,1.13980625467282,0.107212415423075,-0.287441207594797,0.396887013975516,0.204840309763113,2.68278640236827e-07,0,1.67921373830172e-06,4.4409514064777e-07,2241,4
"3",3,1,2015-01-07,"MER",11,0.150860269,0.160253245,5.36e-10,6.55e-11,2.64e-11,1.39e-09,5.5e-09,2.68e-09,6.53e-10,1.16e-10,570.726490299611,139.172299017588,1652.2808945155,527.369897257871,75312.7414669721,75187.415004337,75431.8703873929,67.9258700005762,279.890950820946,276.033432281607,282.870354737657,1.8843107147618,284.303940481798,280.489432365067,290.911376855609,3.46470701556312,-1.87570145030902,-3.14407370421748,-1.18118733130599,0.420611677957123,-0.613492912643291,-1.36362621060898,0.00211144687291148,0.438750671994165,3.91563721677793e-05,0,0.000518167341005097,0.000118236952606396,2241,3
"4",4,1,2015-01-10,"MER",27.8333333333333,0.342046359,0.160253245,7.52e-10,8.54e-11,3.75e-11,1.9e-09,7.04e-09,3.15e-09,1.15e-09,2.13e-10,517.283342429332,39.8257809507318,1796.26163366116,688.475501403806,75090.6914216126,74874.0756636409,75210.7325703078,105.05007296081,278.321041631766,276.32245717499,280.142871128417,1.14282520499965,282.724446132658,277.287952558354,289.911933922933,4.31036276110197,0.0514113585665858,-1.54469925506212,2.58720074486933,1.34807491611433,0.0982874285676705,-0.323220496548412,0.765843597514964,0.262312841849827,0.000119131007507743,1.09316557741034e-07,0.000752895616212728,0.000168776041492001,2241,6
"5",5,1,2015-01-11,"MER",33.8333333333333,0.257960153,0.160253245,7.23e-10,1.12e-10,4.69e-11,1.95e-09,8.86e-09,1.1e-09,2.23e-09,4.07e-10,543.262121703428,15.1081865103663,2009.2269381666,738.752410292584,75114.8195547355,74950.740658696,75288.1571630508,94.1752906832624,276.702979873155,274.089973560159,279.131513524897,1.20548365013225,284.011804568391,278.006562734229,291.807610821011,4.99383265705623,-0.287065236415891,-1.72191377184595,1.6923034261615,0.777661854201287,0.275660532124067,-0.203220091872232,0.934183004903286,0.321579269208849,1.4931768192115e-05,0,0.000188419588916842,4.65047555869594e-05,2241,7
"7",7,1,2015-01-13,"MER",47.1666666666667,0.278785671,0.160253245,1.32e-09,1.09e-10,4.51e-11,3.71e-09,1.38e-08,1.96e-09,8.97e-10,2.09e-10,456.959592527155,25.8677527820585,1886.25554067392,644.659125337668,75128.5187625805,74883.7759967284,75303.6725839265,108.896964195547,275.209841292373,272.906589282275,277.393930046838,1.11961272223162,284.790602691761,276.902018823807,293.547398798337,5.77482495656068,0.197082101724102,-0.452010526918039,1.17578333710963,0.419025087098155,0.0436125043095374,-0.409723338433051,1.02718711477854,0.327111169147733,2.24599732943637e-07,0,8.4664251055136e-07,3.38835155743776e-07,2241,2
"9",9,1,2015-01-15,"MER",40.4782608695652,0.549200832,0.160253245,1.08e-09,1.16e-10,4.55e-11,3.24e-09,8.74e-09,1.85e-09,1.46e-09,3.01e-10,569.912371422051,19.6623562490048,2185.62640293592,803.223785124453,75096.9790582567,74914.0780571937,75289.419115047,95.9284483745268,276.785500541783,274.886301001707,278.612138324064,1.02531310617902,284.997118296923,277.084896285981,293.442700945484,5.71917628264071,0.777161519489882,0.0287779174398872,1.32280109925968,0.383568863708126,0.291013296391085,0.0279383528304748,0.682964337135509,0.19434298140127,1.76474784234712e-12,0,2.71065268584517e-11,6.22932621683786e-12,2241,4
"10",10,1,2015-01-16,"MER",37.6666666666667,0.166648648,0.160253245,1.11e-09,2.05e-10,7.96e-11,3.37e-09,1.09e-08,4.06e-09,2.46e-09,5.38e-10,569.903473716181,31.8378917834391,2409.26276308949,776.739072621119,75196.0228762901,75024.0746648493,75345.7271312186,95.9181530791641,277.651106985206,276.125909717185,279.501512112389,1.10402910076257,285.762547249786,278.460925361375,294.585503863999,5.50074694885081,-0.200173106114654,-1.52659469900098,0.638848248668568,0.710717633745648,0.242367942245221,-0.249664856629996,1.07698220646911,0.321234980445487,8.04300789021276e-07,0,3.82608740025277e-06,1.15583518164652e-06,2241,5
"11",11,1,2015-01-17,"MER",43.2083333333333,0.696670866,0.160253245,1.16e-09,1.73e-10,6.94e-11,3.32e-09,1.13e-08,2.92e-09,3.1e-09,6.45e-10,567.603797992764,23.0940374523437,1919.90919865892,752.314189655231,75240.8370298534,75068.7421444917,75407.802423256,96.1045840983439,278.187596955481,276.557898851302,280.404029889352,1.07746325003843,286.167236155365,280.566050585819,292.812816819663,4.42160473023296,-0.40232202235918,-2.09474032648938,0.920481259370438,1.0626410959018,0.389045756606411,0.0286338974486326,1.00427923713193,0.253217516717226,5.75335050337343e-06,0,5.39001715213384e-05,1.35052742056711e-05,2241,6
"12",12,1,2015-01-18,"MER",29.25,0.509199157,0.160253245,1.21e-09,1.73e-10,7.01e-11,3.8e-09,1.08e-08,4.9e-09,4.12e-09,8.86e-10,473.643986642552,20.8651746975633,1565.71037746398,597.682406246084,75305.6284017861,75095.8362914999,75508.6091661687,112.950975048103,277.642079267315,275.292670415579,279.98839657182,1.12086525398698,286.285461707079,281.603431941751,292.590045291192,3.80928093843692,-1.06062432778818,-2.50068922234827,0.63513247618638,0.985810441283643,-0.14071693393442,-1.05865859616695,0.695760056165159,0.45211155160897,6.40382977498937e-06,0,2.97731171568693e-05,7.29302873028619e-06,2241,7
"14",14,1,2015-01-20,"MER",47.125,0.441968724,0.160253245,1.15e-09,4.56e-10,1.67e-10,3.5e-09,1.5e-08,2.79e-09,3.68e-09,7.7e-10,571.823896886308,16.3614886027327,1948.90453504115,751.821334967421,75002.8155952745,74815.1554046999,75123.742847429,91.1440154293153,276.92890568314,275.328122961275,278.090286032389,0.721510192710929,286.237655933811,279.222295201646,294.231407171125,5.02140925520219,-0.261060428036538,-1.91354489346038,0.731514906692468,0.793699912580875,0.0627767611946488,-0.379986817307299,1.26966327959868,0.399388576704447,3.12280242216963e-05,0,0.000272993892272434,7.12786198450189e-05,2241,2
