"","X","ID","date","estacion","PM25","AOD_055","ndvi","BCSMASS_dia","DUSMASS_dia","DUSMASS25_dia","OCSMASS_dia","SO2SMASS_dia","SO4SMASS_dia","SSSMASS_dia","SSSMASS25_dia","blh_mean","blh_min","blh_max","blh_sd","sp_mean","sp_min","sp_max","sp_sd","d2m_mean","d2m_min","d2m_max","d2m_sd","t2m_mean","t2m_min","t2m_max","t2m_sd","v10_mean","v10_min","v10_max","v10_sd","u10_mean","u10_min","u10_max","u10_sd","tp_mean","tp_min","tp_max","DEM","dayWeek"
"1399",1401,1,2020-10-23,"BSQ",21,0.06159196,0.176628388,9.65e-10,1.9e-09,5.6e-10,3.33e-09,7.14e-09,2.7e-09,7.79e-09,1.92e-09,389.2959208,19.03418843,1168.782843,432.2521081,90513.87105,90446.49838,90592.98526,46.11415592,281.1731196,278.1519237,284.2550734,1.732514999,288.3254328,281.9048935,296.6409311,5.018505049,0.357853183,-0.146701487,0.847740828,0.268205953,1.048584457,-0.698718067,2.862195354,1.257809256,0,0,0,580,5
"1400",1402,1,2020-10-24,"BSQ",15,0.063316478,0.176628388,9.48e-10,1.82e-09,5.24e-10,3.31e-09,7.23e-09,2.89e-09,8.09e-09,1.94e-09,454.0878246,18.53985567,1323.616625,488.8926297,90538.16834,90414.81549,90674.14395,59.84991531,280.5159237,277.043048,282.9591442,1.727941145,287.2051808,280.6120429,294.6157518,4.833024028,0.245285347,-0.287047658,0.855138423,0.25488096,1.288613442,-1.010064067,3.176410158,1.433646502,0,0,0,580,6
"1402",1404,1,2020-10-26,"BSQ",18,0.031838722,0.176628388,8.4e-10,2.32e-09,6.25e-10,3.47e-09,4.47e-09,1.89e-09,4.09e-09,8.26e-10,417.1151294,15.16933426,1258.308515,480.5138565,90642.75497,90345.76,91010.74362,219.9978677,278.2555443,273.0639804,282.9483293,2.811413811,287.8983593,278.1387095,297.0644371,6.614353222,0.341155268,-0.029076801,0.919203436,0.286644208,0.67247672,-1.157398942,2.766184018,1.484573823,1.29e-05,1.29e-05,1.29e-05,580,1
"1405",1407,1,2020-10-30,"BSQ",19,0.064130093,0.176628388,8.41e-10,3.39e-09,8.44e-10,2.38e-09,5.75e-09,1.57e-09,1.02e-08,2.22e-09,492.9595192,17.05184552,1719.271655,629.4066044,90568.29653,90479.31534,90669.69258,55.45630312,276.5495705,272.7512064,282.0435764,2.295540462,288.1993414,277.7346722,298.545565,7.26596277,0.338938869,-0.090244699,1.150497399,0.389993437,0.395328213,-2.215071431,2.5886958,1.522918837,0,0,0,580,5
"1406",1408,1,2020-10-31,"BSQ",25,0.072410589,0.176628388,9.37e-10,2.91e-09,7.18e-10,2.5e-09,7.11e-09,2.84e-09,9.43e-09,2.55e-09,409.4046224,15.79643649,1368.319403,503.9241592,90564.01395,90464.49744,90657.25688,52.1111556,279.7444947,275.725399,283.8546961,2.37505198,288.9554642,280.1332716,298.3226853,6.297303871,0.347654824,-0.158703282,0.974186882,0.377435377,0.730577721,-1.021722654,2.688114092,1.415445191,0,0,0,580,6
"1408",1410,1,2020-11-02,"BSQ",20,0.041698487,0.198614268,9.06e-10,1.03e-08,2.85e-09,2.7e-09,6.76e-09,3.42e-09,6.93e-09,2.43e-09,391.4290725,18.37392435,1153.639837,443.6152894,90579.28914,90484.02149,90694.19328,71.64381332,280.7334407,277.5957694,284.9516087,2.021640962,288.8354931,281.9722734,297.2829754,5.444404169,0.363800664,-0.167472618,1.004672188,0.396199834,0.89178311,-0.870260748,2.806468944,1.356869916,0,0,0,580,1
"1409",1411,1,2020-11-03,"BSQ",19,0.057050596,0.198614268,8.56e-10,6.35e-09,1.81e-09,2.25e-09,6.55e-09,2.86e-09,4.62e-09,1.38e-09,409.1246141,20.79444779,1199.267554,457.0509815,90555.50456,90407.1914,90692.63934,83.14921371,282.2368294,279.8203277,285.6578491,1.40411452,290.443806,283.2166086,300.2631053,6.112640715,0.562282878,-0.165841761,1.458994021,0.523041643,0.93797166,-0.860749986,2.645081755,1.165972915,0,0,0,580,2
"1411",1413,1,2020-11-06,"BSQ",26,0.043237929,0.198614268,7.64e-10,4.09e-09,1.11e-09,2.54e-09,5.11e-09,1.13e-09,1.02e-08,1.82e-09,505.3272459,16.4756842,1607.919726,594.4236693,90391.67946,90288.94612,90511.88784,58.37581242,279.5623041,277.5666944,282.861522,1.323305495,289.8460547,282.2153246,297.5965787,5.220911021,0.310134281,-0.079696836,1.154188093,0.341018078,0.998058044,-0.586972392,2.448583377,1.069842874,0,0,0,580,5
"1412",1414,1,2020-11-07,"BSQ",20,0.07159115,0.198614268,7.71e-10,2.4e-09,6.68e-10,2.23e-09,6.08e-09,2.31e-09,7.52e-09,1.81e-09,523.3786449,16.73524153,1808.828204,641.0388241,90343.64587,90219.70105,90454.01621,64.4906777,278.6684692,275.6376133,283.7847496,2.157093963,290.6641516,280.6362846,300.6170375,6.793111124,0.326955845,-0.143538185,0.863376487,0.294659704,0.651120981,-1.555187335,3.019763171,1.588352195,0,0,0,580,6
"1413",1415,1,2020-11-08,"BSQ",17,0.175753169,0.198614268,8.92e-10,3.06e-09,8.26e-10,3.36e-09,5.55e-09,1.85e-09,1.03e-08,2.45e-09,437.6062719,18.29369075,1256.179709,475.4765805,90596.16649,90411.76957,90743.83807,115.2953428,281.6696102,278.7797661,283.9939241,1.372777036,289.9479474,284.2306454,295.9268776,3.816217087,0.405916671,-0.643307264,1.036109089,0.473514717,1.136421787,-0.844940224,3.134645893,1.313020209,0,0,0,580,7
"1414",1416,1,2020-11-09,"BSQ",15,0.059307562,0.198614268,8.69e-10,3.43e-09,8.95e-10,3.34e-09,5.96e-09,2.36e-09,9.04e-09,2.51e-09,504.340349,22.58293104,1532.532545,563.5784142,90562.91773,90318.49504,90806.93973,156.9985523,281.5070533,279.9950267,284.2760995,1.165814035,289.8385427,283.2875975,298.8387035,5.651882612,0.583518035,-0.053535186,1.06458165,0.301114836,0.966194372,-1.135729155,2.607543733,1.252373317,0,0,0,580,1
"1416",1418,1,2020-11-11,"BSQ",18,0.086115764,0.198614268,9.93e-10,3.23e-09,9.11e-10,4.93e-09,6.9e-09,3.05e-09,4.73e-09,1.49e-09,452.4186112,30.30694726,1295.115539,461.7726047,90620.75453,90556.15136,90697.51589,44.1929262,281.8059759,280.2054657,283.9211273,0.889152324,288.9365104,283.9220936,296.4806855,4.470996342,0.569244339,0.069858362,1.093382727,0.263788286,1.222804321,-0.776394629,2.634626609,1.133786072,0,0,0,580,3
"1417",1419,1,2020-11-12,"BSQ",18,0.118466723,0.198614268,7.25e-10,1.38e-09,4.03e-10,2.2e-09,7.52e-09,3.34e-09,3.71e-09,9.29e-10,454.2744222,22.52234709,1333.063709,489.4940964,90626.05602,90564.6788,90696.71382,43.70090534,281.5429651,279.9449045,283.9852529,1.085375735,289.3023259,283.2573083,297.3470779,4.702953966,0.395363743,-0.154030044,0.718465209,0.222205246,1.142290727,-0.703168293,2.825393572,1.208768433,0,0,0,580,4
"1419",1421,1,2020-11-15,"BSQ",12,0.0958411,0.198614268,6.99e-10,1.48e-09,4.26e-10,1.94e-09,4.95e-09,2.32e-09,5.84e-09,1.05e-09,568.1039029,17.55583236,1759.938303,645.9395538,90600.13551,90447.35447,90787.68609,104.899961,278.2977581,276.1899526,280.6876966,1.181594927,287.9399074,280.7551781,294.4741987,4.634335877,0.144354527,-0.351783434,0.745693252,0.2639354,0.896447102,-1.10447679,2.669919142,1.187302314,0,0,0,580,7
"1421",1423,1,2020-11-18,"BSQ",20,0.091400145,0.198614268,1.09e-09,1.18e-09,3.05e-10,2.49e-09,9.72e-09,8.28e-09,6.25e-09,1.58e-09,472.0277489,35.02719879,1326.381735,501.8923392,90617.40866,90398.05931,90815.18678,128.3687458,282.0039155,279.4205702,284.5122678,1.275945588,287.9891152,281.401108,295.7053187,5.213645767,0.396870183,-0.364752111,1.302053147,0.402279161,0.821307446,-1.080306633,2.131941606,0.907951271,0.000234359,0.000234359,0.000234359,580,3
"1422",1424,1,2020-11-21,"BSQ",12,0.055372243,0.198614268,5.24e-10,1.93e-09,5.35e-10,1.27e-09,6.59e-09,2.19e-09,2.07e-09,4.18e-10,553.5875493,19.35173152,1528.260591,576.6015624,90703.62473,90541.62665,90835.66952,91.64208588,278.1665612,275.741988,281.6705322,1.592710714,287.7661349,278.8172414,297.2753794,6.570683064,0.529967017,-0.144430486,1.298907949,0.345762988,1.003240899,-1.021363737,2.438825191,1.131365604,0,0,0,580,6
"1424",1426,1,2020-11-23,"BSQ",13,0.049386758,0.198614268,7.63e-10,1.91e-09,5.27e-10,2.12e-09,6.34e-09,2.22e-09,7.14e-09,1.32e-09,571.1656648,22.97484757,1629.448445,615.3481243,90488.70226,90355.23042,90601.3457,85.69480942,281.652829,279.4393738,284.0049312,1.207575612,290.3742898,283.9856118,296.7327006,4.438157029,0.217203122,-0.544323208,0.959758714,0.406229104,1.533158509,-0.269941344,3.176906157,1.12433148,0,0,0,580,1
"1425",1427,1,2020-11-24,"BSQ",9,0.075217,0.198614268,6.11e-10,2.39e-09,6.22e-10,1.63e-09,5.19e-09,1.42e-09,5.6e-09,1.05e-09,629.8305559,21.37910193,1763.451642,668.211822,90642.2565,90477.86682,90793.33362,87.49156988,281.1390099,279.5406617,283.6253181,0.999943081,290.0126981,283.1834235,296.3816058,4.54124338,0.298666659,-0.020498237,1.144940304,0.30204605,1.586930124,-0.100860991,3.327739239,1.219044545,0,0,0,580,2
"1426",1428,1,2020-11-25,"BSQ",10,0.019801979,0.198614268,6.03e-10,3.31e-09,8.36e-10,2.1e-09,4.6e-09,9.46e-10,4.74e-09,8.56e-10,520.3851417,23.25910797,1380.162993,534.4030526,90711.4072,90490.40563,90921.75358,124.8152022,278.9937157,276.8008188,280.8008304,1.183403756,290.0113298,281.8986545,298.0545235,5.724561409,1.039793439,0.057892863,1.962703502,0.61939739,1.041796174,-0.965516972,2.132195039,1.054506953,0,0,0,580,3
"1428",1430,1,2020-11-27,"BSQ",19,0.098346107,0.198614268,8.77e-10,3.8e-09,9.84e-10,6.65e-09,4.89e-09,7.77e-10,1.03e-08,1.65e-09,501.7676014,14.29875865,1469.170228,562.7197184,90380.08298,90231.96264,90506.84375,86.10211736,277.0464778,275.0981703,280.3700872,1.335063728,291.8596105,283.8387478,298.4763922,4.873804612,0.378935294,-0.327896345,0.959619054,0.375590938,1.078260892,-0.615004254,2.931871143,1.373701508,0,0,0,580,5
"1429",1431,1,2020-11-28,"BSQ",24,0.098249783,0.198614268,7.46e-10,3.49e-09,9.54e-10,3.54e-09,5.05e-09,1.08e-09,9e-09,1.92e-09,550.0451822,18.73246712,1618.396228,600.0358008,90640.41782,90527.0488,90743.26095,69.57503388,280.1570069,277.8564509,282.2811942,1.239402133,290.8165595,282.9301739,298.4728763,5.410205699,0.438871841,-0.061857978,1.233952732,0.374048501,1.173254958,-0.753317405,2.912616402,1.244240624,0,0,0,580,6
"1430",1432,1,2020-11-29,"BSQ",14,0.029688219,0.198614268,7.09e-10,2.59e-09,7.12e-10,2.72e-09,4.88e-09,1.24e-09,5.87e-09,1.1e-09,575.1785067,20.63821482,1721.962351,635.5512733,90668.3213,90535.40133,90801.10203,76.61957023,280.1458309,278.7418034,282.6856155,1.138608958,291.8240753,283.4709049,300.3582963,5.907787826,0.647575539,0.222110179,1.191365865,0.327033863,0.976627741,-0.871012832,2.651617328,1.302806454,0,0,0,580,7
"1431",1433,1,2020-11-30,"BSQ",15,0.039844571,0.198614268,5.98e-10,2.7e-09,6.96e-10,1.93e-09,4.54e-09,9.66e-10,8.18e-09,1.39e-09,601.1843981,15.93240395,1828.663005,691.4935449,90497.25814,90255.77134,90725.18469,134.6016126,281.043787,279.238206,283.6520626,1.14862805,293.3115275,285.0891642,301.3593381,5.702595124,0.495180026,-0.047109276,1.102669224,0.327231887,1.061872634,-1.151095116,2.837454266,1.414066004,0,0,0,580,1
"1432",1434,1,2020-12-01,"BSQ",19,0.145298288,0.173701793,6.58e-10,4.07e-09,1.08e-09,1.98e-09,4.7e-09,1.18e-09,9.98e-09,1.89e-09,513.1774352,15.51038804,1544.092697,569.1868961,90391.23199,90218.89834,90555.22353,99.24282827,279.9639131,278.0592388,282.0653459,1.080438692,291.2975902,284.2602218,298.2030931,4.398654632,0.423246296,-0.230023386,1.138699243,0.32440973,1.240276357,-1.204353433,4.052363897,1.721994917,0,0,0,580,2
"1435",1437,1,2020-12-04,"BSQ",21,0.048163428,0.173701793,5.16e-10,6.86e-09,1.66e-09,1.41e-09,4.45e-09,9.72e-10,1.54e-08,2.53e-09,527.0855262,15.70925975,1541.682999,587.416275,90392.10342,90285.81831,90484.93528,57.8195817,278.5820851,276.9370138,281.4476518,1.248911503,291.304882,283.2602516,298.7756755,5.207169953,0.381865011,-0.347338659,1.075414796,0.340869539,1.121445604,-1.013834525,2.930900931,1.379285789,0,0,0,580,5
"1437",1439,1,2020-12-06,"BSQ",18,0.051549388,0.173701793,7.72e-10,7.18e-09,1.95e-09,2.3e-09,6.36e-09,2.88e-09,1.34e-08,3.41e-09,494.5031539,19.12100952,1542.453306,558.3875992,90480.57556,90249.67367,90703.43436,128.5118066,281.2022506,279.1497834,283.846851,1.281137874,291.9446157,284.6186151,300.917421,5.94437045,0.428061283,-0.372301151,1.0657394,0.435013383,0.954094258,-0.881109585,3.090856171,1.388920688,0,0,0,580,7
"1438",1440,1,2020-12-07,"BSQ",20,0.095636267,0.173701793,6.29e-10,1.2e-08,3.29e-09,2e-09,6.58e-09,2.06e-09,6.28e-09,1.48e-09,491.5014056,21.92178043,1410.880056,532.1589558,90415.4507,90275.46113,90582.52804,77.39364068,282.2783708,280.5134981,284.5885889,1.003994984,291.478026,284.9017912,299.3532309,4.923376979,0.353955891,-0.544305438,1.036444758,0.389798516,1.27707089,-0.858007889,3.321382886,1.460933136,0,0,0,580,1
"1439",1441,1,2020-12-08,"BSQ",13,0.063774411,0.173701793,7.04e-10,4.31e-09,1.25e-09,3.77e-09,7.13e-09,3.18e-09,5.82e-09,1.47e-09,497.2625531,33.85390403,1321.795037,504.8786063,90810.59397,90691.05945,90898.61855,65.47860246,281.6791263,280.4861583,283.5124274,0.820237584,291.6211062,284.6228986,300.999707,6.17452782,0.689835776,-0.399940781,1.408357431,0.474705351,1.033188413,-1.195253919,2.579393048,1.276805748,0,0,0,580,2
"1441",1443,1,2020-12-11,"BSQ",17,0.030349138,0.173701793,4.03e-10,7.03e-09,2.01e-09,1.27e-09,4.37e-09,1.17e-09,1.06e-08,2e-09,624.5230655,21.21193658,1628.623344,601.4104454,90550.86405,90349.75306,90720.4408,103.7929879,279.5209959,278.1129169,281.1304936,0.653297077,290.3763122,282.1090769,299.0290943,6.244010986,0.669732103,-0.218503792,1.371150806,0.41024927,1.265786043,-0.858032057,3.019427903,1.133432351,0,0,0,580,5
"1444",1446,1,2020-12-14,"BSQ",13,0.055313012,0.173701793,5.49e-10,4.47e-09,1.23e-09,1.39e-09,4.29e-09,7.26e-10,5.16e-09,8.17e-10,617.6878898,16.35480085,1822.040703,692.4973803,90436.32781,90313.11561,90551.53925,65.81041745,275.1945022,273.8211601,277.2940418,0.986194921,293.365283,284.1353188,299.7869589,5.192835217,0.918652105,0.142847729,1.61972321,0.489444375,0.949652826,-1.033747806,2.949191452,1.491959482,0,0,0,580,1
"1447",1449,1,2020-12-17,"BSQ",17,0.104311561,0.173701793,7.99e-10,7.24e-09,1.87e-09,2.99e-09,6.12e-09,1.94e-09,1.08e-08,2.43e-09,573.434954,20.06370126,1726.198933,632.8013025,90422.11773,90278.1254,90535.08069,54.26752749,280.5790939,279.3608631,283.3111608,1.016125671,292.3137192,285.6453978,300.004164,4.822304495,0.233834169,-0.321742324,0.731423759,0.299639027,1.442695183,-0.795108721,3.514790266,1.370958097,0,0,0,580,4
"1448",1450,1,2020-12-18,"BSQ",9,0.12034313,0.173701793,1.01e-09,2.19e-09,5.81e-10,4.91e-09,7.78e-09,3.9e-09,1.77e-08,4.37e-09,671.2184929,92.44830615,1798.7379,617.1140653,90515.15541,90371.59274,90637.74278,89.97857977,280.8552976,276.1274092,283.0043047,2.071159063,287.1253435,283.0403464,291.754321,2.813635171,0.262612085,-0.17195106,1.228469851,0.315462802,1.558290104,0.662956127,2.600633565,0.547798882,0,0,0,580,5
"1452",1454,1,2020-12-23,"BSQ",18,0.122812926,0.173701793,6.21e-10,5.86e-09,1.53e-09,2.02e-09,5.23e-09,1.73e-09,8.28e-09,1.94e-09,493.4961075,18.42569526,1328.327101,509.5335125,90350.92206,90226.85192,90454.83295,73.27096678,283.2232205,281.363189,284.5852907,0.79670172,292.8616549,286.5199499,298.7767264,4.23348279,0.563558115,-0.330217365,1.382380961,0.492076894,1.474781024,-0.59936697,3.231899958,1.320236073,0,0,0,580,3
"1453",1455,1,2020-12-24,"BSQ",20,0.077484905,0.173701793,7.04e-10,7.04e-09,1.88e-09,2.33e-09,5.32e-09,2.03e-09,8.6e-09,2.02e-09,588.1632485,22.15393651,1700.423337,633.0567394,90422.40783,90288.56203,90554.41347,80.04688756,283.4112019,282.159138,285.6607705,0.875504423,293.1682708,286.2393816,300.6209878,5.196571764,0.586578127,-0.193106811,1.564755157,0.500021866,1.308349202,-0.882935443,2.952253553,1.17343969,0,0,0,580,4
"1454",1456,1,2020-12-25,"BSQ",24,0.103859254,0.173701793,6.02e-10,3.55e-09,1.01e-09,1.94e-09,4.41e-09,1.2e-09,7.91e-09,1.59e-09,545.2588287,15.444509,1595.381968,603.113288,90321.83642,90231.14754,90408.48521,61.14792225,281.9327039,280.2084679,284.6841365,1.047255188,294.1641793,286.106008,302.3933571,5.686991431,0.502803397,-0.287666558,1.06036178,0.412481667,1.231562067,-1.180322296,3.363888153,1.341041999,0,0,0,580,5
"1455",1457,1,2020-12-26,"BSQ",11,0.131490101,0.173701793,6.03e-10,3.92e-09,1.12e-09,2.13e-09,4.54e-09,1.18e-09,1e-08,1.94e-09,511.4269399,16.2788098,1415.184491,537.4413467,90334.83216,90142.3774,90437.71637,83.10259659,282.9585185,280.4674848,285.3074762,1.191092506,293.2454286,286.7390455,298.9153861,3.972727709,0.408238577,-0.574191808,1.183152883,0.449191205,1.419923797,-1.006460298,3.148796578,1.385096148,0,0,0,580,6
"1457",1459,1,2020-12-28,"BSQ",12,0.114890474,0.173701793,5.59e-10,3.6e-09,1.04e-09,1.54e-09,7.56e-09,3.02e-09,3.55e-09,8.12e-10,583.8838461,24.9350564,1647.61886,611.2929623,90543.19481,90406.14948,90654.97837,68.82699624,284.3094564,282.8917126,286.2612386,0.963152803,292.9107586,285.9428652,299.9887212,4.810862756,0.543798814,-0.07816152,1.411028082,0.436901941,1.38523863,-0.885572304,3.36061935,1.350526009,0,0,0,580,1
"1458",1460,1,2020-12-29,"BSQ",12,0.23837536,0.173701793,7.22e-10,6.69e-09,1.92e-09,2.37e-09,7.09e-09,4.13e-09,3.65e-09,8.66e-10,569.3926114,34.92430064,1340.362874,543.9521244,90676.25979,90549.95201,90771.67435,75.33770171,284.9219547,283.4696951,286.7672004,0.814273516,291.5403188,286.6784319,296.616531,3.60058955,0.456695999,-0.741847115,1.768816882,0.618989213,1.587726623,0.015163289,3.010576564,1.017023406,0,0,0,580,2
"1459",1461,1,2020-12-30,"BSQ",11,0.054654353,0.173701793,5.71e-10,3.45e-09,1e-09,2.37e-09,4.79e-09,1.57e-09,6.62e-09,1.33e-09,635.5641017,33.40284887,1714.746028,620.2690309,90583.47538,90321.04249,90840.25043,152.1091311,280.9815432,278.7744257,284.2212016,1.339473177,292.506797,283.4757082,301.3391753,6.142654725,0.828794077,0.150208961,1.613719804,0.452405312,0.926160377,-1.283915697,2.266719825,1.190409938,9.14e-06,9.14e-06,9.14e-06,580,3
"1460",1462,1,2020-12-31,"BSQ",22,0.070648284,0.173701793,5.75e-10,8.6e-09,2.06e-09,1.89e-09,4.41e-09,9.25e-10,7.47e-09,1.15e-09,451.5561554,18.35815652,1287.248025,493.1046588,90258.21054,90085.49517,90376.41433,94.38709769,279.6257681,277.3446282,282.5627296,1.515231819,294.3392193,286.1112005,301.4828428,5.56465831,0.555829635,-0.160466434,1.510336076,0.506052813,1.010677137,-1.431478317,3.384836972,1.726442571,0,0,0,580,4
"1462",1464,1,2021-01-02,"BSQ",13,0.219638216,0.162127527,6.12e-10,3.29e-09,9.22e-10,1.64e-09,7.08e-09,2.74e-09,1.15e-08,2.88e-09,614.5647611,34.36894928,1848.768908,657.8292813,90474.44303,90368.28988,90564.43903,66.88601239,283.3891992,281.2968184,285.0708085,1.047956358,291.9001978,287.2804555,297.0376654,3.42151686,0.089229693,-0.824477036,1.119470214,0.524124152,1.330390765,-0.764479164,3.206057659,1.212084495,0,0,0,580,6
"1464",1466,1,2021-01-04,"BSQ",14,0.117740307,0.162127527,5.76e-10,4.38e-09,1.23e-09,1.83e-09,4.54e-09,1.42e-09,1.39e-08,2.89e-09,638.1387446,16.80944776,1901.956611,702.529073,90287.62569,90190.20705,90450.79552,75.36974677,283.1938967,281.0875194,285.5257914,1.044623664,293.1942635,286.6535952,300.2149441,4.563251996,0.300555761,-0.134799531,0.714345008,0.224498095,1.246547849,-0.600028783,3.103659959,1.425915567,0,0,0,580,1
"1465",1467,1,2021-01-05,"BSQ",14,0.106076279,0.162127527,5.54e-10,8.39e-09,2.29e-09,1.9e-09,4.48e-09,1.36e-09,1.84e-08,3.5e-09,642.3146602,24.1997506,1920.340899,689.6582836,90352.55727,90257.56573,90458.84541,52.48181759,280.6994272,279.2696522,282.8499164,0.980457529,291.3609098,285.7575448,297.7123775,4.238142167,0.385733183,-0.234579892,0.973106917,0.287961879,1.369456199,-0.804212279,3.149755095,1.278673421,0,0,0,580,2
"1468",1470,1,2021-01-08,"BSQ",15,0.163860167,0.162127527,5.57e-10,3.77e-09,1.14e-09,1.65e-09,4.97e-09,1.55e-09,1.03e-08,2.13e-09,752.3047146,24.90569564,2219.423689,817.6112977,90532.59333,90418.7764,90655.47572,63.00909396,281.2991005,279.0588191,284.2264731,1.440820471,292.2014913,286.5412902,297.6263087,3.915533281,0.095299343,-0.387552806,0.720032944,0.283815822,1.332755034,-0.682325703,3.540892717,1.439488016,0,0,0,580,5
"1469",1471,1,2021-01-10,"BSQ",5,0.080942976,0.162127527,5.3e-10,1.15e-09,3.66e-10,1.51e-09,4.97e-09,1.44e-09,1.15e-08,2.05e-09,703.1465353,29.10806979,2004.298722,710.822531,90469.64331,90366.04421,90575.62592,53.99913876,278.7142506,277.5203516,280.0996886,0.659620667,290.5601193,282.8637556,298.194982,5.376695101,0.268033532,-0.450913027,0.744215887,0.227839286,1.573532666,-0.596164658,3.30281128,1.265687648,0,0,0,580,7
"1470",1472,1,2021-01-11,"BSQ",9,0.051134843,0.162127527,5.15e-10,1.88e-09,5.95e-10,1.32e-09,5.03e-09,1.33e-09,9.25e-09,1.57e-09,703.2635293,32.95295682,1872.498152,697.1630596,90575.28171,90474.13286,90662.1129,59.03824959,278.9241576,277.9182056,280.0233658,0.601455346,291.0667867,282.813578,299.1063007,5.789876179,0.440298635,-0.221785094,1.163126857,0.298728582,1.29237589,-1.123668152,2.529884301,1.062409309,0,0,0,580,1
"1472",1474,1,2021-01-13,"BSQ",13,0.08961225,0.162127527,6.43e-10,3.96e-09,1.05e-09,1.59e-09,5.94e-09,2.14e-09,1.22e-08,2.39e-09,536.2426656,18.38544489,1521.273675,570.4451082,90507.86481,90364.65189,90621.79646,72.59350721,278.142411,276.5318321,279.9696078,0.974972441,292.4237727,284.1654051,300.8925866,5.880808735,0.457549754,-0.324816244,1.271077268,0.422597538,1.361693846,-0.578391626,3.208120351,1.300740983,0,0,0,580,3
"1473",1475,1,2021-01-14,"BSQ",17,0.052778037,0.162127527,6.85e-10,7.34e-09,2.01e-09,1.84e-09,6.23e-09,2.52e-09,1.17e-08,2.5e-09,509.1185851,17.91974655,1389.800505,531.1043267,90384.35277,90278.14693,90509.46595,62.79966911,279.9852717,278.3337907,282.0735115,1.212175167,292.4667739,284.7495408,300.4521387,5.387138915,0.503098739,-0.069837035,1.194900529,0.388436057,1.458376235,-0.597624613,3.34517822,1.418532834,0,0,0,580,4
"1474",1476,1,2021-01-15,"BSQ",17,0.093443872,0.162127527,6.05e-10,7.53e-09,2.07e-09,2.01e-09,5.5e-09,1.64e-09,8.74e-09,1.86e-09,605.032618,25.57266139,1715.755907,645.297124,90373.75179,90172.65712,90488.37768,79.68815635,280.3880605,278.8219154,282.1582605,0.899230104,292.5584561,284.3246247,300.1127546,5.603246175,0.809248597,-0.268521163,1.637468188,0.48019091,1.332009641,-1.145695332,3.140836094,1.347020171,0,0,0,580,5
"1475",1477,1,2021-01-16,"BSQ",12,0.092634673,0.162127527,5.45e-10,6.9e-09,1.94e-09,1.71e-09,4.26e-09,8.98e-10,9.03e-09,1.5e-09,707.7228061,22.02079079,1986.181886,746.9444323,90333.27786,90226.16995,90434.3164,66.59284775,279.7418027,277.1382085,282.9901767,1.499671425,292.62104,285.0941117,299.702364,4.972109042,0.656791199,-0.142912052,1.573700594,0.434893934,1.452324023,-0.738526321,3.217641526,1.184819086,0,0,0,580,6
"1477",1479,1,2021-01-18,"BSQ",18,0.114796451,0.162127527,6.11e-10,5.42e-09,1.42e-09,1.77e-09,4.62e-09,1.32e-09,1.27e-08,2.33e-09,491.208434,13.70833259,1399.483371,545.3381739,90268.66865,90155.10728,90362.63919,53.88601074,280.5291573,277.896999,283.067049,1.398803913,293.7587088,286.5879385,301.3988637,5.221676795,0.286835955,-0.176626824,1.179831264,0.465922053,1.197361863,-0.573515091,3.175859308,1.403089697,0,0,0,580,1
"1479",1481,1,2021-01-20,"BSQ",19,0.176512067,0.162127527,7.56e-10,5.22e-09,1.32e-09,2.8e-09,6.03e-09,3.15e-09,1.01e-08,2.65e-09,403.4057851,25.37712724,1166.971347,409.511192,90379.77178,90284.07431,90472.33584,57.87014098,285.4808245,283.7840467,287.1171228,1.183541395,293.0339031,287.4451081,299.523295,4.385940945,0.401284893,-0.442271438,1.031026784,0.450055754,1.203556505,-0.669420413,2.526601842,0.941553297,4.52e-05,4.52e-05,4.52e-05,580,3
"1480",1482,1,2021-01-21,"BSQ",19,0.194432401,0.162127527,7.73e-10,5.18e-09,1.24e-09,2.51e-09,5.84e-09,3.66e-09,7.27e-09,1.72e-09,417.4688198,22.74556578,1136.787587,417.6522397,90389.05063,90253.39411,90463.5767,65.49296737,286.1206789,283.8008933,288.4931897,1.536804789,292.8567565,287.1639517,299.1785244,4.335027168,0.371324681,-0.546536659,1.33423385,0.452003467,1.22136407,-0.806045479,2.930959442,1.186535384,0,0,0,580,4
"1481",1483,1,2021-01-22,"BSQ",24,0.126338894,0.162127527,8.69e-10,5.64e-09,1.34e-09,3.77e-09,5.16e-09,2.21e-09,6.69e-09,1.56e-09,384.4824978,27.15875617,1032.493384,383.7481782,90277.16302,90146.81202,90441.62358,94.91229346,286.7626483,284.6115239,288.9316076,1.577409119,293.8536937,287.60384,301.2834362,4.994125095,0.350502149,-0.668532724,0.990449954,0.436994963,1.219438913,-0.889987927,2.74137426,1.24404993,0,0,0,580,5
"1482",1484,1,2021-01-23,"BSQ",16,0.222371888,0.162127527,9.25e-10,7.02e-09,1.67e-09,2.86e-09,7.49e-09,4.14e-09,4.31e-09,9.92e-10,423.5578514,27.81786425,1168.53739,417.6671541,90305.17948,90170.27048,90409.25203,65.85908064,287.2925126,285.7427333,289.3065471,0.954133349,293.583612,287.9270689,299.1349637,3.908154261,0.56152031,-0.233345422,1.403343828,0.467611576,1.530074642,-0.168013073,3.066385066,1.077115157,0,0,0,580,6
