"","X","ID","date","estacion","PM25","PM25_hora","AOD_055","ndvi","BCSMASS_dia","DUSMASS_dia","DUSMASS25_dia","OCSMASS_dia","SO2SMASS_dia","SO4SMASS_dia","SSSMASS_dia","SSSMASS25_dia","blh_mean","blh_min","blh_max","blh_sd","sp_mean","sp_min","sp_max","sp_sd","d2m_mean","d2m_min","d2m_max","d2m_sd","t2m_mean","t2m_min","t2m_max","t2m_sd","v10_mean","v10_min","v10_max","v10_sd","u10_mean","u10_min","u10_max","u10_sd","tp_mean","tp_min","tp_max","tp_sd","DEM","dayWeek"
"16",25,1,2015-10-27,"EMC I",13.54541667,13.18846154,0.149526178,0.533107588323546,3.97e-10,6.15e-09,1.54e-09,2.28e-09,2.86e-09,1.26e-09,1.94e-08,4.41e-09,434.054175857387,277.169036241941,789.448466189947,173.593968660688,101792.614898726,101688.156290966,101910.672587314,58.0214095139483,288.693909945598,287.9199921746,289.391097495548,0.40724776596559,291.594578998781,288.879034973255,295.032033286245,2.08624813752848,1.91691423494483,0.688937709926828,3.43807083853414,0.678672690898439,-3.45256427150535,-5.32557473057809,-2.36375241904152,0.862986604346921,3.93293819905793e-05,0,0.0004087325823877,9.32845694650516e-05,6,2
"19",33,1,2015-11-05,"EMC I",42.81916667,31.74153846,0.119660092,0.583236166220552,3.22e-10,1.39e-08,3.76e-09,1.08e-09,3.33e-09,9.68e-10,1.32e-08,2.87e-09,410.948139628231,120.157982944269,779.03267132356,212.78798591771,102075.415923501,101923.897665529,102251.486113949,87.4705351010671,280.384550726996,278.660786657754,282.214310655827,1.10653649259,289.099453645559,284.021030918787,293.875454021162,3.49665033023131,0.896905430543212,-0.896666374745658,2.33588078753536,0.921349913525467,-2.37860929167715,-4.8796559369079,-0.859769049425382,1.06904293446894,0,0,0,0,6,4
"21",35,1,2015-11-07,"EMC I",13.15434783,12.8575,0.037731507,0.583236166220552,4.56e-10,2.19e-08,5.85e-09,1.69e-09,3.08e-09,1.85e-09,1.15e-08,2.51e-09,536.655176787568,95.4360464742797,1304.85168072661,455.849372833721,101728.185779352,101358.186978946,101915.894843353,198.817129662526,285.897341754405,283.319734117947,287.476362866366,1.32391602212257,293.755272363985,289.299373573505,297.673357391688,2.85195377701647,-1.65202499741728,-3.16613012816704,0.568497656085253,1.21289008989831,-2.43143404494173,-5.87620703238482,0.325759074419804,1.67219706392479,6.94866918599833e-08,0,8.6659268120436e-07,2.35470029884395e-07,6,6
"23",37,1,2015-11-10,"EMC I",17.62130435,24.74153846,0.188082714,0.583236166220552,4.23e-10,8.71e-09,2.12e-09,1.62e-09,2.57e-09,1.25e-09,1.54e-08,3.88e-09,423.033206722639,208.162420203911,816.149460363041,205.511619380176,101281.388105936,101103.430941345,101445.016375894,117.549212428675,291.397309706598,290.176775391264,292.784332927032,0.852116301173311,294.857064254584,292.506604351512,299.196174269415,2.38112269362383,3.14324658225479,1.18297600234059,4.50293445861877,1.07449035260839,-2.42699319724233,-3.72005991587177,-0.829831582809348,0.689220298271115,7.19776355452029e-05,0,0.000794067148309772,0.000188037871243071,6,2
"27",43,1,2015-11-16,"EMC I",8.495833333,11.64153846,0.134644436,0.583236166220552,4.35e-10,1.01e-08,2.84e-09,2.46e-09,2.73e-09,9.92e-10,1.36e-08,2.56e-09,462.769086266098,183.494779869113,793.279488632123,197.535717801108,100817.450036171,100443.720977166,100977.243277577,174.109252409171,289.198230872635,287.037805729024,291.006017410552,1.18477867873394,295.860842067258,293.214483821755,298.519037935894,1.6723777363229,-2.50012570430505,-3.60469965594446,-0.665686036671496,0.938887381465642,-3.50923291810492,-4.99749997201394,-2.02492664128798,0.821791521868085,2.59911118006103e-08,0,6.23786683214646e-07,1.27329923518251e-07,6,1
"28",47,1,2015-11-21,"EMC I",6.873913043,7.093846154,0.098922879,0.583236166220552,4.27e-10,1.12e-08,3.16e-09,1.46e-09,3.01e-09,1.01e-09,1.29e-08,2.64e-09,772.452254815418,319.170789128905,1486.79686880718,430.035589122969,101192.411220163,100892.337473368,101356.630234407,151.401155735682,281.283531461225,279.002631362863,284.352324439305,1.27743399532169,291.443005222142,287.279498028243,295.501802384702,2.8926483672816,-5.97813975602707,-7.27654041376907,-3.25818987408946,1.17052130537816,-0.123081615128049,-2.37013140224692,1.02470736440245,1.09041315938637,1.36880825765691e-08,0,3.28513981837659e-07,6.70576357393504e-08,6,6
"30",50,1,2015-11-24,"EMC I",12.31791667,16.85538462,0.098962668,0.583236166220552,2.31e-10,1.04e-08,2.94e-09,1.1e-09,1.95e-09,7.87e-10,2.45e-08,4.3e-09,665.80893124839,456.489698732955,1050.3538604267,206.982948455432,101120.562143975,100884.205241063,101254.859979312,117.074132399445,284.680728895822,282.91134359038,288.346960136566,1.32994274665027,291.959805463486,288.759002558375,294.852869808607,1.7345375822797,-0.852534876610873,-3.68937473136441,2.99420407958358,2.22953697642075,-5.908639098217,-7.09245203593862,-5.10869106847914,0.597767472298839,0,0,0,0,6,2
"31",51,1,2015-11-25,"EMC I",14.42083333,17.62692308,0.03297693,0.583236166220552,2.67e-10,1.5e-08,4.16e-09,1.35e-09,1.84e-09,1.13e-09,2.8e-08,4.68e-09,714.739100684049,541.628159159462,1068.14640862285,161.715883373036,101214.007964373,101026.858027098,101382.458196179,110.845081749022,287.263720371599,285.465358693022,289.970045155596,1.14261538347223,293.103254447163,290.120678151404,295.849492851867,1.78546042900182,-1.01839483810434,-3.83858648176778,3.2776288854727,2.41857856608852,-5.46821977268778,-6.6072765824785,-3.85053584656894,0.836842899783991,0,0,0,0,6,3
"32",54,1,2015-11-29,"EMC I",7.605833333,7.650769231,0.076068216,0.583236166220552,4.74e-10,1.19e-08,2.63e-09,1.22e-09,2.08e-09,5.91e-10,1.4e-08,2.63e-09,947.742355710783,189.716270070273,2423.41561724751,742.223658992705,101580.980267819,101247.494197122,101780.696322832,135.056657979966,281.923805379626,280.143724384293,284.80408084848,1.04584197564145,292.297166344236,286.260275316816,297.416043234719,3.53938936968725,3.26218131479246,1.07315079785175,4.61446254791588,1.10326759462785,1.98287507474593,-2.36400462495455,3.41002837107365,1.48833511564092,0,0,0,0,6,7
"33",55,1,2015-11-30,"EMC I",10.06916667,13.74230769,0.065910245,0.583236166220552,8.46e-10,1.3e-08,3.04e-09,2.41e-09,4.87e-09,1.16e-09,1.14e-08,2.26e-09,556.383213597598,161.936455156033,1570.17885389551,512.412333678531,101618.204171745,101337.281225504,101795.803691767,145.719130993467,286.340013982572,284.67978092871,288.526594168791,1.1796984040923,295.000550658198,289.850291091617,299.709903542551,3.45801596561755,-2.1491633817716,-3.88487338664204,-0.281563220688788,1.09858712709998,0.430349715791233,-2.29322832901363,3.2295210071639,1.73513153377391,1.48156535425021e-09,0,3.5557568502005e-08,7.25815827699762e-09,6,1
"34",56,1,2015-12-01,"EMC I",12.6125,15.75846154,0.123786402,0.544562744268945,6.31e-10,1.1e-08,2.92e-09,2.43e-09,4.15e-09,1.44e-09,7e-09,1.39e-09,460.828538747184,140.358850809929,1202.90219070672,399.225617822363,101484.251840105,101383.495737902,101597.267785515,71.390994133049,287.317884231559,285.130208121073,288.344001048833,0.92088818478004,296.666120620015,292.279444142789,300.209709801434,2.54711331093697,-2.27113865179902,-3.63968827421896,0.975746575757447,1.38532904106797,-0.475038780572328,-2.89619694901531,1.1288446080734,1.17679766114616,0,0,0,0,6,2
